,respondent_id,seasonal_vaccine,xyz_vaccine
0,26707,0.3,0.3
1,26708,0.1,0.1
2,26709,0.5,0.5
3,26710,0.8,0.8
4,26711,0.6,0.6
5,26712,0.8,0.8
6,26713,0.2,0.2
7,26714,0.2,0.2
8,26715,0.2,0.2
9,26716,0.8,0.8
10,26717,0.4,0.4
11,26718,0.5,0.5
12,26719,0.6,0.6
13,26720,0.1,0.1
14,26721,0.3,0.3
15,26722,0.2,0.2
16,26723,0.6,0.6
17,26724,0.6,0.6
18,26725,0.0,0.0
19,26726,0.1,0.1
20,26727,0.5,0.5
21,26728,0.6,0.6
22,26729,0.3,0.3
23,26730,0.3,0.3
24,26731,0.5,0.5
25,26732,0.2,0.2
26,26733,0.7,0.7
27,26734,0.4,0.4
28,26735,0.4,0.4
29,26736,0.2,0.2
30,26737,0.2,0.2
31,26738,0.7,0.7
32,26739,0.3,0.3
33,26740,0.1,0.1
34,26741,0.7,0.7
35,26742,0.4,0.4
36,26743,0.5,0.5
37,26744,0.5,0.5
38,26745,0.9,0.9
39,26746,0.4,0.4
40,26747,0.4,0.4
41,26748,0.1,0.1
42,26749,0.4,0.4
43,26750,0.8,0.8
44,26751,0.5,0.5
45,26752,0.2,0.2
46,26753,0.6,0.6
47,26754,0.3,0.3
48,26755,0.8,0.8
49,26756,0.3,0.3
50,26757,0.5,0.5
51,26758,0.6,0.6
52,26759,0.4,0.4
53,26760,0.1,0.1
54,26761,0.3,0.3
55,26762,0.8,0.8
56,26763,0.9,0.9
57,26764,0.8,0.8
58,26765,0.9,0.9
59,26766,0.2,0.2
60,26767,0.6,0.6
61,26768,0.2,0.2
62,26769,0.1,0.1
63,26770,0.4,0.4
64,26771,0.2,0.2
65,26772,0.3,0.3
66,26773,0.2,0.2
67,26774,0.3,0.3
68,26775,0.6,0.6
69,26776,0.3,0.3
70,26777,0.8,0.8
71,26778,0.4,0.4
72,26779,0.4,0.4
73,26780,0.6,0.6
74,26781,0.6,0.6
75,26782,0.4,0.4
76,26783,0.4,0.4
77,26784,0.7,0.7
78,26785,0.4,0.4
79,26786,0.2,0.2
80,26787,0.4,0.4
81,26788,0.6,0.6
82,26789,0.2,0.2
83,26790,0.3,0.3
84,26791,0.2,0.2
85,26792,0.8,0.8
86,26793,0.5,0.5
87,26794,0.7,0.7
88,26795,0.8,0.8
89,26796,0.2,0.2
90,26797,0.4,0.4
91,26798,0.4,0.4
92,26799,0.1,0.1
93,26800,0.7,0.7
94,26801,0.1,0.1
95,26802,0.4,0.4
96,26803,0.1,0.1
97,26804,0.2,0.2
98,26805,0.3,0.3
99,26806,0.6,0.6
100,26807,0.9,0.9
101,26808,0.6,0.6
102,26809,0.2,0.2
103,26810,0.3,0.3
104,26811,0.1,0.1
105,26812,0.7,0.7
106,26813,0.2,0.2
107,26814,0.4,0.4
108,26815,0.2,0.2
109,26816,0.3,0.3
110,26817,0.7,0.7
111,26818,0.4,0.4
112,26819,0.4,0.4
113,26820,0.3,0.3
114,26821,0.3,0.3
115,26822,0.5,0.5
116,26823,0.3,0.3
117,26824,0.4,0.4
118,26825,0.6,0.6
119,26826,0.7,0.7
120,26827,0.3,0.3
121,26828,0.7,0.7
122,26829,0.7,0.7
123,26830,0.6,0.6
124,26831,0.5,0.5
125,26832,0.5,0.5
126,26833,0.7,0.7
127,26834,0.7,0.7
128,26835,0.8,0.8
129,26836,0.3,0.3
130,26837,0.2,0.2
131,26838,0.4,0.4
132,26839,0.5,0.5
133,26840,0.2,0.2
134,26841,0.7,0.7
135,26842,0.2,0.2
136,26843,0.0,0.0
137,26844,0.7,0.7
138,26845,0.5,0.5
139,26846,0.7,0.7
140,26847,0.1,0.1
141,26848,0.6,0.6
142,26849,0.8,0.8
143,26850,0.6,0.6
144,26851,0.2,0.2
145,26852,0.2,0.2
146,26853,0.4,0.4
147,26854,0.1,0.1
148,26855,0.7,0.7
149,26856,0.1,0.1
150,26857,0.2,0.2
151,26858,0.4,0.4
152,26859,0.2,0.2
153,26860,0.2,0.2
154,26861,0.2,0.2
155,26862,0.4,0.4
156,26863,0.3,0.3
157,26864,0.5,0.5
158,26865,0.1,0.1
159,26866,0.7,0.7
160,26867,0.1,0.1
161,26868,0.8,0.8
162,26869,0.5,0.5
163,26870,0.5,0.5
164,26871,0.2,0.2
165,26872,0.2,0.2
166,26873,0.8,0.8
167,26874,0.1,0.1
168,26875,0.8,0.8
169,26876,0.0,0.0
170,26877,0.1,0.1
171,26878,0.7,0.7
172,26879,0.2,0.2
173,26880,0.6,0.6
174,26881,0.3,0.3
175,26882,0.1,0.1
176,26883,0.4,0.4
177,26884,0.3,0.3
178,26885,0.7,0.7
179,26886,0.8,0.8
